__v,_id,announcement,code,contestAdmin,createdAt,description,editorialLink,endsAt,invitationLink,name,solutionVisibility,startsAt,type,updatedAt
0,5c1aa10854c48b00218cb45e, ,SRM08,"[{""$oid"":""5b6d84eb2e9049002068df33""},{""$oid"":""5b6dcf5ce21df60020be63c4""}]",2018-12-19T14:20:32.967Z,3 hour contest,http://arena.siesgst.ac.in/blog/5c5717d087ce5400224dc1ae,2019-02-03T16:30:00.000Z,http://arena.siesgst.ac.in/blog/5c55b491cd61f40022177445,Single Round Match #08,AFTER,2019-02-03T13:30:00.000Z,RATED,2018-12-20T08:05:13.666Z
0,5c1aa1d954c48b00218cb45f, ,SRM09,"[{""$oid"":""5b67014c91c77d0020b63d25""},{""$oid"":""5b606d47e228ec0020a1fcf1""},{""$oid"":""5b607d4fe228ec0020a1fcf2""}]",2018-12-19T14:24:01.015Z,3 hour contest,http://arena.siesgst.ac.in/blog/5c7c031b3d26a70022f23062,2019-03-03T16:30:00.000Z,http://arena.siesgst.ac.in/blog/5c7bcaf95dfcc900221e1147,Single Round Match #09,AFTER,2019-03-03T13:30:00.000Z,RATED,2019-02-18T12:08:01.616Z
0,5c7d6ca285be5a0022471c0e,"<b>Surprise Problem Added!</b><br>
<h5 align=""center"">Contest is extended by 24 hours!</h5>",GBYE19,"[{""$oid"":""5b6c66d6746b5e0020a32aa5""},{""$oid"":""5b5c89298114180020d4bcb0""},{""$oid"":""5b5d752b37392f89933e7513""},{""$oid"":""5b66fe9391c77d0020b63d1f""},{""$oid"":""5b66d36591c77d0020b63d0b""},{""$oid"":""5b5d756b37392f89933e7515""}]",2019-03-04T12:51:22.428Z,#OneLastTime Contest from Batch of 2015-19 of SIES GST,,2019-04-01T15:30:00.000Z,,Good Bye Batch 15-19,AFTER,2019-03-30T15:30:00.000Z,UNRATED,2019-03-31T01:38:18.639Z
0,5d3aed30a5c0bb0022255d25," <b>1)</b> Please note that the output should follow the exact output format <br>
<b>2)</b> <b>Java -</b> Note that the class name should be ""<b>Main</b>"" <br>
( Compiler for Java - open JDK 8 ) <br>
<b>3) C/C++ -</b> Note the the datatype of main function should be <b>int</b> with <b>return 0</b>
<br> <br>
<b>Please help us by filling the feedback form: </b> <br>
<a href=""https://forms.gle/2QM8uxZMZvc56h6k6"">https://forms.gle/2QM8uxZMZvc56h6k6</a>",BETA01,"[{""$oid"":""5b67014c91c77d0020b63d25""},{""$oid"":""5b5ca6857cf0b100209fe499""}]",2019-07-26T06:38:16.068Z,Beta Contest for Beginners,http://arena.siesgst.ac.in/blog/5d3dd5b91132780022915e5f,2019-07-28T17:00:00.000Z,http://arena.siesgst.ac.in/blog/5d3d6f864f4af90022b364cf,Beta Round 01,AFTER,2019-07-28T14:00:00.000Z,UNRATED,2019-08-10T02:58:48.800Z
0,5d46ef1286031f00223f4ce6,"  <b>1)</b> Please note that the output should follow the exact output format <br>
<b>2)</b> <b>Java -</b> Note that the class name should be ""<b>Main</b>"" <br>
( Compiler for Java - open JDK 8 ) <br>
<b>3) C/C++ -</b> Note the the datatype of main function should be <b>int</b> with <b>return 0</b>
<br> <br>",SRM10,"[{""$oid"":""5b6d84eb2e9049002068df33""}]",2019-08-04T09:13:30.306Z,3 hour contest,http://arena.siesgst.ac.in/blog/5d4efc4e5a6f360022db2221,2019-08-10T17:00:00.000Z,http://arena.siesgst.ac.in/blog/5d4d83d607b7510022141b35,Single Round Match #10,AFTER,2019-08-10T14:00:00.000Z,RATED,2019-08-10T02:58:04.069Z
0,5d5ec6be46a1a70022bd6140,"   <b>1)</b> Please note that the output should follow the exact output format <br>
<b>2)</b> <b>Java -</b> Note that the class name should be ""<b>Main</b>"" <br>
( Compiler for Java - open JDK 8 ) <br>
<b>3) C/C++ -</b> Note that the return type of main function should be <b>int</b> with <b>return 0</b>
<br> <br>",SRM11,"[{""$oid"":""5b6dcf5ce21df60020be63c4""},{""$oid"":""5b6e6f112e29b100208b2e14""}]",2019-08-22T11:15:50.379Z,3 hour contest,http://arena.siesgst.ac.in/blog/5d62c415e007440022d89e64,2019-08-25T17:00:00.000Z,http://arena.siesgst.ac.in/blog/5d600383ea727e0022282644,Single Round Match #11,AFTER,2019-08-25T14:00:00.000Z,RATED,2019-08-25T03:54:10.505Z
0,5d7681463f1e64002252b75b,"If you love problem solving, you'd definitely love this movie! <br>
<b>1)</b> Please note that the output should follow the exact output format <br>
<b>2)</b> <b>Java -</b> Note that the class name should be ""<b>Main</b>"" <br>
<b>3) C/C++ -</b> Header file <b>conio.h</b> should be avoided at all costs. <br>
<br>
<br>
If your solutions have been submitted multiple times at once, they will be reverted back to one submission after the end of the contest. Final Scoreboard will be updated.",SRM12,"[{""$oid"":""5b6c6860746b5e0020a32aa7""}]",2019-09-09T11:13:50.493Z,3 hour contest,http://arena.siesgst.ac.in/blog/5d7e70a745059a00221537ed,2019-09-15T17:00:00.000Z,http://arena.siesgst.ac.in/blog/5d7a5583b112e300220a44cf,Single Round Match #12,AFTER,2019-09-15T14:00:00.000Z,RATED,2019-09-15T09:46:28.939Z
0,5e14b9317ddd7100229c7e28,"Editorial is up, please check the home page<br> 
1) Please note that the output should follow the exact output format <br>
Also <b>do not</b> print anything which is not required in the output format. <br>
2)<b> Java </b> - Note that the class name should be ""Main"" <br>
3) <b> C/C++ </b> - Main function datatype should be int. Header file conio.h should be avoided at all costs.",SRM13,"[{""$oid"":""5b5ca6857cf0b100209fe499""}]",2020-01-07T11:30:33.893Z,3 hour contest,http://arena.siesgst.ac.in/blog/5e1b498b4be6fd0022ca14c5,2020-01-12T16:30:00.000Z,http://arena.siesgst.ac.in/blog/5e16086a73aedb002281071b,Single Round Match #13,AFTER,2020-01-12T13:30:00.000Z,RATED,2020-01-12T11:03:47.759Z
0,5e2455fc4166340022a42a78," 1) Please note that the output should follow the exact output format <br>
Also <b>do not</b> print anything which is not required in the output format. <br>
2)<b> Java </b> - Note that the class name should be ""Main"" <br>
3) <b> C/C++ </b> - Main function datatype should be int. Header file conio.h should be avoided at all costs.",SRM14,"[{""$oid"":""5b607d4fe228ec0020a1fcf2""}]",2020-01-19T07:43:32.408Z,3 hour contest,http://arena.siesgst.ac.in/blog/5e2dbeac6b87cb0022790bcd,2020-01-26T16:30:00.000Z,http://arena.siesgst.ac.in/blog/5e2b124cd146750022478580,Single Round Match #14,AFTER,2020-01-26T13:30:00.000Z,RATED,2020-01-26T00:40:53.528Z
0,5e67278e39ed5e002212b92c,"Make sure you strip() the input when using python. <br>
  1) Please note that the output should follow the exact output format <br>
Also <b>do not</b> print anything which is not required in the output format. <br>
2)<b> Java </b> - Note that the class name should be ""Main"" <br>
3) <b> C/C++ </b> - Main function datatype should be int. Header file conio.h should be avoided at all costs.",SRM15,"[{""$oid"":""5d4c24c2a3bf49002216c109""},{""$oid"":""5d690d4fe783c700228ad9c2""},{""$oid"":""5d60af35ea727e002228269b""}]",2020-03-10T00:07:18.280Z,3 hour contest,http://arena.siesgst.ac.in/blog/5e6e5c0a9054f70023aa5c4d,2020-03-15T16:30:00.000Z,http://arena.siesgst.ac.in/blog/5e6dde12502c4b0022178a60,Single Round Match #15,AFTER,2020-03-15T13:30:00.000Z,RATED,2020-03-15T10:01:39.320Z
